name,album,release_date,track_number,id,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,duration_ms
Labyrinth,Midnights,21/10/2022,10,0A1JLUlkZkp2EFrosoNQi0,spotify:track:0A1JLUlkZkp2EFrosoNQi0,0.797,0.48,0.295,0.333,0.12,-15.512,0.0384,110.018,0.132,70,247962
Mastermind,Midnights,21/10/2022,13,7FmYn9e7KHMXcxqGSj9LjH,spotify:track:7FmYn9e7KHMXcxqGSj9LjH,0.565,0.66,0.343,0.00134,0.0922,-14.132,0.14,125.96,0.137,72,191039
Snow On The Beach (feat. Lana Del Rey),Midnights,21/10/2022,4,1wtOxkiel43cVs0Yux5Q4h,spotify:track:1wtOxkiel43cVs0Yux5Q4h,0.701,0.663,0.321,0.000598,0.107,-13.527,0.0409,110.021,0.153,70,256124
Vigilante Shit,Midnights,21/10/2022,8,1xwAWUI6Dj0WGC3KiUPN0O,spotify:track:1xwAWUI6Dj0WGC3KiUPN0O,0.166,0.872,0.267,2.18E-05,0.123,-10.764,0.387,79.964,0.168,74,164801
Midnight Rain,Midnights,21/10/2022,6,3rWDp9tBPQR9z6U5YyRSK4,spotify:track:3rWDp9tBPQR9z6U5YyRSK4,0.71,0.604,0.375,5.87E-05,0.116,-11.637,0.0633,137.651,0.203,78,174782
"You're On Your Own, Kid",Midnights,21/10/2022,5,4D7BCuvgdJlYvlX5WlN54t,spotify:track:4D7BCuvgdJlYvlX5WlN54t,0.447,0.696,0.39,1.55E-05,0.125,-10.331,0.0616,120.032,0.395,78,194206
Sweet Nothing,Midnights,21/10/2022,12,0wavGRldH0AWyu2zvTz8zb,spotify:track:0wavGRldH0AWyu2zvTz8zb,0.968,0.336,0.161,0.00011,0.115,-14.973,0.0456,176.48,0.407,69,188496
Bejeweled,Midnights,21/10/2022,9,3qoftcUZaUOncvIYjFSPdE,spotify:track:3qoftcUZaUOncvIYjFSPdE,0.0593,0.687,0.551,0.000143,0.09,-9.202,0.0787,163.994,0.443,77,194165
Anti-Hero,Midnights,21/10/2022,3,0V3wPSX9ygBnCm8psDIegu,spotify:track:0V3wPSX9ygBnCm8psDIegu,0.121,0.633,0.648,2.62E-06,0.161,-6.645,0.062,96.888,0.49,85,200690
Down Bad,THE TORTURED POETS DEPARTMENT,18/04/2024,4,2F3N9tdombb64aW6VtZOdo,spotify:track:2F3N9tdombb64aW6VtZOdo,0.56,0.541,0.366,1.00E-06,0.0946,-10.412,0.0748,159.707,0.168,87,261228
loml,THE TORTURED POETS DEPARTMENT,18/04/2024,12,6RSG1dKPV5gEvILwJb4QtS,spotify:track:6RSG1dKPV5gEvILwJb4QtS,0.858,0.423,0.272,0,0.108,-12.56,0.0489,78.539,0.195,79,277156
Clara Bow,THE TORTURED POETS DEPARTMENT,18/04/2024,16,1UlhrRvYzbHEyugEDspXUB,spotify:track:1UlhrRvYzbHEyugEDspXUB,0.636,0.686,0.318,0.00144,0.106,-11.046,0.0263,104.088,0.214,74,216662
I Can Do It With a Broken Heart,THE TORTURED POETS DEPARTMENT,18/04/2024,13,4q5YezDOIPcoLr8R81x9qy,spotify:track:4q5YezDOIPcoLr8R81x9qy,0.123,0.701,0.751,0,0.15,-8.39,0.0502,129.994,0.22,90,218004
Who’s Afraid of Little Old Me?,THE TORTURED POETS DEPARTMENT,18/04/2024,10,36t6frENUtCYKuZus6aYDO,spotify:track:36t6frENUtCYKuZus6aYDO,0.315,0.606,0.338,0,0.106,-10.555,0.048,119.88,0.238,83,334084
"So Long, London",THE TORTURED POETS DEPARTMENT,18/04/2024,5,3Vevii7qKqrmW8CcyzBHDl,spotify:track:3Vevii7qKqrmW8CcyzBHDl,0.73,0.423,0.533,0.00264,0.0816,-11.388,0.322,160.218,0.248,84,262974
The Smallest Man Who Ever Lived,THE TORTURED POETS DEPARTMENT,18/04/2024,14,2v1ivOOsgn64g5OywuH55L,spotify:track:2v1ivOOsgn64g5OywuH55L,0.52,0.426,0.41,0,0.338,-9.083,0.0581,142.377,0.263,78,245541
Fortnight (feat. Post Malone),THE TORTURED POETS DEPARTMENT,18/04/2024,1,2OzhQlSqBEmt7hmkYxfT6m,spotify:track:2OzhQlSqBEmt7hmkYxfT6m,0.502,0.504,0.386,1.53E-05,0.0961,-10.976,0.0308,192.004,0.281,95,228965
The Tortured Poets Department,THE TORTURED POETS DEPARTMENT,18/04/2024,2,3NMrVbIVWT3fPXBj0rNDKG,spotify:track:3NMrVbIVWT3fPXBj0rNDKG,0.0483,0.604,0.428,0,0.126,-8.441,0.0255,110.259,0.292,82,293048
I Can Fix Him (No Really I Can),THE TORTURED POETS DEPARTMENT,18/04/2024,11,2h3MDMf8sd9s4XIzpTBIjX,spotify:track:2h3MDMf8sd9s4XIzpTBIjX,0.768,0.661,0.257,1.72E-06,0.176,-13.961,0.045,106.896,0.318,76,156297
Fresh Out The Slammer,THE TORTURED POETS DEPARTMENT,18/04/2024,7,3fO566xJgwxIa3qGCGBvIC,spotify:track:3fO566xJgwxIa3qGCGBvIC,0.624,0.33,0.483,0,0.111,-9.394,0.0399,87.115,0.34,77,210789
The Alchemy,THE TORTURED POETS DEPARTMENT,18/04/2024,15,1dhMTsEZz6ZEquGvmzVoHn,spotify:track:1dhMTsEZz6ZEquGvmzVoHn,0.422,0.64,0.421,0,0.103,-8.802,0.0273,100.056,0.353,78,196900
Florida!!! (feat. Florence + The Machine),THE TORTURED POETS DEPARTMENT,18/04/2024,8,3ZVFcD8Wlw9T9klGqmJf9F,spotify:track:3ZVFcD8Wlw9T9klGqmJf9F,0.178,0.533,0.573,0,0.309,-7.123,0.138,150.088,0.398,82,215463
But Daddy I Love Him,THE TORTURED POETS DEPARTMENT,18/04/2024,6,5og4Qzt92jJzVDkOtSEilb,spotify:track:5og4Qzt92jJzVDkOtSEilb,0.384,0.521,0.72,0,0.135,-7.684,0.104,79.943,0.438,82,340428
My Boy Only Breaks His Favorite Toys,THE TORTURED POETS DEPARTMENT,18/04/2024,3,2XXwLdtuAcE0HSCu61ijAb,spotify:track:2XXwLdtuAcE0HSCu61ijAb,0.137,0.596,0.563,0,0.302,-7.362,0.0269,97.073,0.481,82,203801
Guilty as Sin?,THE TORTURED POETS DEPARTMENT,18/04/2024,9,0W0iAC1VGlB82PI6elxFYf,spotify:track:0W0iAC1VGlB82PI6elxFYf,0.607,0.626,0.428,0,0.0921,-8.374,0.0261,94.95,0.487,83,254365
